text,recalled
"I am at work and am talking to a colleague.Another colleague comes to join us and greets us saying ""alright sluts"".This does not bother me as it is said in an affectionate manner and there is no malice or bad intent behind the phrase.I look around to see if anyone else has heard because whilst this doesnt bother me and my colleague it may be shocking for someone else to over hear.I know i am lucky that  have not had to deal with sexism in my workplace and if i did i feel comfortable that t would be dealt with appropriately",1
I am at work and my supervisor spots that I have made an error in recording a customer’s details on  a form.He says he can’t believe that I made a simple error of omission and I try to explain that the customer would not give me the required information.It’s obvious he does not believe me and he says,1
"I am at work and witness a colleague being rude to a freelancer.I step in to try and mediate the situation.I speak gently with the freelancer, apologising and making small talk in an attempt to make her feel comfortable.I speak with the rude colleague about her behaviour.I her that the way she behaved was not how we do things here, and that she came across as aggressive.She was very snippy with me and raised her voice telling me that she was not aggressive.",1
"I am at work in the hospital as a support worker.I enter a patient bay of 4 individuals.One patient has her granddaughter visiting her which is very common as she has a large, supportive family.The granddaughter raises her voice and says ""excuse me"".I say ""yes, is everything ok?"".She asks me if we have any combs, she does not ask politely it must be added.I explain that I am really sorrybut I think our stock order for combs has not yet arrived, but I reassure her that I will check.I go to the store cupboard and sure enough there are no combs.I go back into the patient bay to explain this to the lady.""Don't you think that's a form of abuse?"" she asks me.I apologise again and say that we suggest relatives bring in as many things as they can.She says ""some people could be in here for months and it's not good enough that you don't have combs for afro hair"".This lady clearly has an issue and it is not my fault so I walk away shaking my head.",1
I am imagining a situation in which someone says me idiot and laughs on me in front of other people when we are sitting in a couple of people and discussing on a random topic.It feels like someone is trying to insult me in front of others and making me get angry.,0
"I am in a bar waiting for a friend to show up and a man at the bar started talking to me.He seemed friendly enough and said he was in the military and that he was there with some of his army friends.My friend was late and so I politely remained chatting to him.Eventually it became clear I had been stood up so I decided to leave after talking to this man for a long time.However, one of his friends took offence to me leaving as his friend had 'invested' so much time in trying to hook up with me it seems, and got really angry.His friends had to hold him back as he shook his finger in my face and called me a bitch and a slut.I was just very shocked and couldn't believe his reaction, and I just left in shock.It left me wondering what I had done wrong exactly and if I had contributed to his outburst.",1
"I am in a group of people who I thought were my friends.They had been calling me derogatory names for my weight i.e. hotdog, fatty etc.Each person is ringing my phone and I am ignoring it feeling sick.I am frightened of what they were going to say and so I panicked and avoided it.I started walking by myself on the way to where I was going to have to see them.A voicemail popped up on my phone, I rang it and listened to it, where they addressed me straight away as stupid, fat and they hated me.They are laughing altogether now, carrying on that they want nothing to do with me, I was never their friend, they hate me",1
"I am in a meeting at work with the parents of a teenage boy who had been accused of poor behaviour during a lesson, and another member of staff is present.The meeting is to discuss the boy's behaviour and ways of improving this.I am a bit apprehensive about meeting his parents as they have a reputation for being aggressive and rude.I am explaining to the parents that their son will have to do a detention after school as a punishment, when his father stands up and starts to verbally abuse me.He is shouting and swearing and threatening me.I feel panicky and scared.I am worried that his behaviour is going to get worse towards me.I try to explain that the teacher has set the detention, but he won't listen.",1
"A colleague verbally assaults me.she is saying unpleasant things to me aloud.There are two otshe was a person that I didn't take much into consideration honestly but the episode created me great embarrassment as other people were present.I answered her trying to keep a non-aggressive tone, but it was difficult because I was very upset.I didn't want the situation to get worse but at the same time I didn't want to let her get away with it.",1
"I am just walking on road side minding my own business.On my right hand side cars a driving by however the traffic light has turned red.This red car is slowing stopping in response to the traffic light, as the car is stopping I can see the window coming down.I hear a male voice calling me bitch.I'm not responding as  I don't want any confrontation.Im not sure who is he and why is he addressing me with sexist slur.Im walking faster and faster",0
"I am on the subway in a busy city, having recently moved there.Its a Saturday morning about 1pm, the surroundings are chaotic and the subway car is quite busy and i am on my own.There is a man sitting across from me, probably under the influence, looking quite unkempt who starts saying ""hey cocksuckers"" in my direction and the stranger sitting next to me.The atmosphere is tense immediately and I freeze up an don't make eye contact.He says it a few more times to me and then gestures around the subway cart saying ""you all are cocksuckers, who here is a cocksucker?"" etc quite loudly.I don't make any eye contact, my heart is beating and I try to not draw any attention to myself.This goes on for around 5 minutes or so, loudly saying these words and mumbling lots.",1
"I am out for drinks for friends birthday.I recently broke up with my boyfriend of a year, who was also part of this wider friendship group although he wasn’t out for this night.The friend whose birthday it was had blown hot and cold with me since before I split with my boyfriend, encouraging me to break up with him but then disappearing once it had happened.He had openly been pursuing other girls in the run up to the birthday and on this evening he was trying hard to hit on another girl who had a boyfriend.I was having a fun night but also feeling a bit deflated due to the break up and the friend not really being interested in me.His stepbrother was also out for drinks and had drunk too much.He was also hitting on the girl with the boyfriend.This led to an altercation between my friend and his stepbrother as they were both pursuing the same girl.The argument turned physical and myself and a number of other friends tried to diffuse the situation.The stepbrother called me an ugly bitch.That made me feel like cr",1
"I am outside the pub, wearing a nice outfit that really attracts men.one time a mid-age man approached me and tried to flirt with me.at first, I was talking to him but when his conversation went too far I excused myself.He got mad and so disappointed in me.I don't care as I am not there to catch a man.He got mad at me and called me a whore so quietly as if I did not hear.I just ignored it.",0
"I am sitting on the settee, my husband of only a few months is going out drinkingI tell him I've had enough of this situation.He stands at the door ready to go,dressed for a night out and calls me a stupid bitch adding that no one else will want me.I can't believe I've got myself in this situation, I knew as s",1
"I am sitting with friends at a bar, a very drunk man joins us uninvited.He is making us uncomfortable so my friend asks him to leave, he refuses and calls her an insulting name saying she looks like someone with downs syndrome.I tell him to leave now and he calls me a fat bitch.I attempt to laugh it off but I am offended, I am also shocked that a man would be comfortable using such language against a woman.I have always been self conscious about my weightso it was a hurtful comment.My male friend knows this and becomes angry.He stands to confront him and even though I feel angry too, I am also afraid that things may escalate to violence which I want to avoid at all costs.Luckily the man becomes intimated by my friend and leaves with no more trouble caused.",1
I am talking to a Dr about my son and she is treating me in a manner that is not correct to address to a patient.She said things that are unpolite and hurtful,1
"I am talking to a manager at work, Bob.He is a really difficult person to deal with because he won't admit the his team have any fault in when things go wrong.** because I keep on defending my staff, because it's practically not down to us.I don't mind his insult actually.I feel like he insults us because he hasn't got anything useful to say, or can defend his position in any rational and reasonable way, so it's a last resort.I let things like that wash off me like a duck's back.",0
I am talking to my friend  and she calls me stupid because I do not like our healthcare system in the U.K.She is calling me stupid because she thinks we will be worse off if we had any other healthcare system.I don’t like being called stupid and I feel attacked and undermined.but she shouldn’t be calling me stupid.I would like to discuss this in a level hesded waybut she keeps calling me stupid.,1
"I am talking to one of the parents on the playground discussing some of the teachers and how the children are getting on.One of the parents disagrees with me on how many, if any trips the children should go on during the school year.I believe children should have many opportunites to go out on trips and residentials.One of the parents does not think this, especially during the living crisis and calls me a selfish idiot for not thinking about those who can't afford such trips.I said to them, that yes I am selfish but not an idiot, I am thinking about my own child only, if trips are important then parents have enough prior knowledge to save up and pay for them.And don't call me an idiot, everyone is entitlte to their own opnion.",0
I am talking with my ex boyfriend.This event happened 20 years ago.He was always jealous and very possessive.One of those toxic people that you don't would not to have around you.He saw me talking to y work college and when I come home started having crazy thought that I am cheating on him.,0
"I am waiting in a queue to visit the toilet in a concert hall.Another person in the queue loudly asks me to make a few steps forward inside the toilet and wait there.I refuse as the toilet space isn't very clean and I'll be in the way of the people leaving the toilet.In response, the lady starts screaming and verbally abusing me.I feel very uncomfortable.",1
"I am walking back from the park carnival with my brother, I am not very old- perhaps 12/13 and my brother is 10/11.It is summertime, the weather is fairly decent and our parents have let us go into our local village to go on the fair ground rides as I have a paper round so have a little bit of money to spend on rides and to get some candy floss.We spend quite some time going on the rides and generally having quite a good time.For some reason, we start to argue about something (I imagine quite trivial) as we are coming out of the park area.We start calling each other names and I feel very hot and angry, and can feel my body vibrating with anger when he calls me a ""bitch"" which I find incredibly insulting- perhaps even more so as it is my younger brother saying it to me.I can't put my finger on why this makes me so angry, he is fully aware of the impact this has had and continues to use it against me even as he is running away back home.I can't remember the actual outcome, and can only imagine that he got into trouble with our parents once we had both returned home.",1
"I am walking down a street on my own, just going for a walk to get some fresh air.A group of 3 men are approaching from the other side of the road.They look like they are at work as they have bright overalls on and perhaps are on lunch break.As they approach me I feel nervous as they are laughing and joking.As they get closer I want to make myself small.One of the men shouts at me making comments about my physical appearance and the others all sneer and laugh.I feel upset and the encounter affects me for the rest of the day.",1
"I am walking in the street and I come by one guy who says ‘slut’.I want to say something and defend myself, but I am also scared that I might be in danger if I do so.I hesitate and continue walking, but I keep thinking about it, asking myself if I should have said something.",1
"I am walking my dog in the village we live in when a motorist speeds past and i shake my head because he is going so fast.He stops his car and starts yelling at me, asking me what i am shaking my head for and i tell him that he is speeding and will possibly knock over a child in the village.He yels that hat he wasn't speeding and was only doing 40mph.I told him that the speed limit was 30 mph and repeated that he was in danger of knocking down a child in the village.He called me a fucking cunt and said he would kill me and my dogs.",1
"I am walking my dog with my young daughter.Another walker coming towards me and has seen that my dog has pooped.While I am organising getting dog on the lead, making sure daughter is safe and trying to find a poo bag, the lady immediately starts yelling that she hopes I am going to pick that up (the dog poo).I say that yes, I am and that it isn't her business as I am feeling harassed already!She starts going on about me being a poor role model and that she feels sorry for my daughter, and no body ever cleans up after their dogs and that I am a disgrace.I am getting upset as I am trying to do it, but she is making me feel really shaky and like I can't get my words out.I feel humiliated.",1
"I am walking on Oxford Street with my family and it is extremely busy, as it is coming up to Christmas.I already feel a little overwhelmed because I do not like very busy spaces and I am having to focus on remaining with my group.Suddenly, I bump shoulders with a stranger walking in the other direction.The stranger is male and he yells at me, telling me to look where I am going and calling me a f*cker.At the same time, I am mumbling a quick sorry, not expecting such an extreme reaction.I feel scared for my wellbeing and I look to the other members of my group in order to provide back up for me.Luckily, my father is with me and he has en",1
"I am walking out if a supermarketand I see a man make comments about two teenage girls on their own.I say to the man ""do you know these girls?""he says no what the fuck has it got to do with you, you stupid bitch.I am quite shook up by this as I am with my 12 year old son.I can see the two girls look shaken up tooso I tell them to go inside the shop.The man looks like he's on drugs or drunk.I try to remain calm even though I am a little scared and feel myself getting warm and flustered.I say to the man I just wanted to make sure the two girls were ok as they didn't seem to know you and they are only young.He shouts more abuse at me.""what's it got to do with you bitch"" I apologise and say I don't want any trouble.I start to walk away and at this point more people leave the shop.I feel safer knowing there are others around.The man keeps looking at me as I walk away.I feel uneasy for some time after this.",1
I am walking to my work colleague whilst working and another member of staff came over and shouted at me and asked me to stop talking and said he had listened to me for 15 minutes and that I was an idiot for talking so much.He shouted and used hand gestures and told me that he was fed up with my behaviour and said I’ll stop your contract if you don’t shut up.I was so amazed how rude he was to me it upset me for days,1
"I am wearing a skirt and walking through town.A random stranger walks past me and shouts 'slut' to me.I feel very upset and embarrassed.I'm not sure why a stranger would judge me in such a manner.It feels very uncalled for and it really makes me feel negatively about myself.I continue my walk but keep my head down, worried that someone else will make a comment.I am feel very emotional and even quite scared.I feel like I'm being watched.",1
"I am with my partner, he has been out with friends and has been drinking.I feel wary when he comes home as we have had problems before.He becomes quite aggressive and rude towards me , with a lot of unpleasant name calling",1
"I am with my thesis advisor for my master thesis.He didn't like my work and he clearly shows it with his facial expression.Then it starts with, are you stupid enough to do this, how did you finish college.I'm so angry, I don't deserve this.It's definitely his problem.",0
I am working as a community nurse with some very difficult patients.I need to go to their house every day to treat large weeping ulcers on their legs.The man is very over weight and he is diabetic and 80 years old.He is now confined to a wheelchair.He does not like to take any advice and always thinks he knows best.I am trying to encourage him to stop smoking as this only makes his legs worse.Today he has really lost his temper with me.He told me to piss off out of his house.When I tried to reason with him he told me I’m a bloody fooland I shouldn’t ever go back to his house because he wants to die anyway.He is red faced and extremely angry and I feel nervous being there even though he’s in a wheelchair-he’s very loud and shouting horrible things at me.,1
I am working in a sports shop when I was around 18 years old.I am in charge of the trainer/shoe department.A customer came in to the store who was either on drugs or drunk.She wanted to buy a pair of trainers that we had on the shelf.I enquired to the stock room if we had that particular shown in the size she requested.Unfortunately we did not have the trainer in the size.This made her extremely upset and at this point she decided to kick off in the store including swearing at me.As a young adult this was pretty daunting at the time.I tried to tell her we could order them from another store but this wasn’t good enough.She was eventually removed from the store by security.,1
I answered the door at work for a delivery to come in.This happens every week as normal.This was for cleaning supplies for work.They were piled at the door as normal in the walkway and I asked the delivery guy to pop the detergents and bleach in the laundry area as normal.He grunted and i asked if everything was ok.He then snapped at me to say its not his job to do that.I explained that actually the delivery note even specifysand if he has a problem then i will take this up with his management.I felt embarrassed and angry.,1
"I came into work a few days ago and some colleagues were talking about an event I was aware of however, I thought I wasn't going to be in those days so didn't register myself.The opportunity to attend (despite the deadline passing) came up again and these colleagues were chatting about who's going, how many were going, what they were going to wear, all the logistics as you normally do.One of my colleagues then stood up and asked if I was going and I said ""no, nobody asked me or approached me about it"" which was the truth.In the previous weeks I had heard several colleagues talk about it but not once was I asked by anyone if I wanted to go",1
"I cannot remember when was the last time but the most memorable time when someone called me a bitch on public forum, even though it was a name involved I can tell it was referring to me.I felt angry and very hurt.",1
"I crossed the road and a car coming down that road hadn't indicated so I had to rush a bit to get over safely.I mouthed to the man driving that he could've indicated.He slammed on his brakes, got out of his car and said ""what did you just say?""I repeated what I had said.He then proceeded to call me a cunt, screaming it at me.I told him this was a total over reaction and managed to keep calm although I was alone and scared of how angry he was over something so trivial.He drove off and I took note of his number plate.",1
I feel by them calling me insecure and useless they did not consider how insulting and hurtful that is.,1
"I felt shocked and hurt.This happened when I was younger, around 14.My father was in a bad mood and called me a bitch when making my dinner as did not want to cook.I have ignored all insults since and not let them hurt me.",1
"I had a colleague who was working with me, she was always reluctant to do any task.One day she was assigned a task, I did my best to explain to her what to dobut she wanted to do her own things thinking she knew best.She was also very slow and complicating a simple task.the job was straight forward, all she had to do was to input data on a form but she made it complicated by emailing people what she had done which is not needed.A 10 minutes job became a 2 days job.By now we were on the second day and it was after 4pm, The deadline was approaching.The manager then came to ask her what she was doing, Manager and the colleague were frustrated.Manager then asked me to check what she was doing, then I told her she did it wrong, Colleague then was angry with me and called me ""Evil Bitch""  and accused me of not showing her what to do properly, she then got up and walked off and I had to do her job.",1
"I had a knock at the door and went and answered it to see my next door neighbour looking annoyed.She went on to tell me that my daughter had cut a bit of her daughters hair and wasn't to happy about it.After chatting for a while we sorted out the problem calmly and everything was OK.All of a sudden my neighbours husband came hurtling round, swearing and shouting saying he he'd had enough and after a nasty exchange he called me a dick head.I then carried on talking to the wife who appoligised for how her husband spoke and she looked really embarrassed.I felt annoyed with the husbands over reaction but just keep my feelings to myself.",1
I had asked my daughter to tidy her room when she said no I told her she was loosing her phone so she called me an idiot it made me feel angry and sad that she'd talk to me like that,1
"I had been waiting for a parking space and the other car pulled out, I pulled in and parked.At that time there was another car who must have been waiting too.I got out of the car and there was a lot of abuse to me, swearing because I had parked there and he hadn't.It wasn't very nice at all and very intimidating as I was on my own and it was quiet.I walked away and did inform the security people in the shopping centre.",1
"I had just come in from going for drinks with some girls friends on a saturday nught, it wasn't late it was around 10.30pm.My children were in bed and my husband had been drinking their were cans on the sofa and he was tispy.I walked in and he said to me ' What has this slag been up to tonight?'",1
"I had my little newborn baby with me when myself and my husband visited my mother and father in law, she was always very critical of me, whether it be how I  looked or spoke, but since having my son she had been ok and quite nice..However, this day was another where she insulted me, my son had been crying so  was changed and fed, he was still quite grumpy and agitated, my mother in law",1
"I hadn't seen my dad for many years.I had actually moved house and he hadn't even been to visit.So one evening i was looking online and noticed my dad was actually online.So I sent him a message.To which he did reply and we continued with a exchange of pleasant messages.Even inviting him around to see the new house and his grand children.At which it was like a switch triggered something and he called be a bloody arse hole because it wasn't his fault he didnt see children.To which I reminded him of all the invitations I had sent to him, but he refused to see reason.Even accused me of using my mum which was completely untrue and since he hadn't seen her in years I knew to be untrue.",1
"I have just been offered a promotion at work and I approach the owner of the company in regards to a wage rise to go along with the promotion as nothing has previously been said.He calls me and my manager in for a meeting to discuss and talks at me in a very intimidating manner, it’s clear that me asking for more money has made him unhappy with me.He tells me that he wanted a man in the position that I will be filling and that if I’m unhappy with the job offer to let him know and he will offer to the other candidate who will gladly start on a lower wage than I’m asking for.",1
"I have just had a new bed delivered and it was assembled by two men.They asked me to check I was happy, I noticed they had scraped the wall in the bedroom.The wall was freshly painted so I was unhappy, and I am refusing to sign the form they wanted me to sign to say they had assembled it fine.One of them has just left, and the other one is speaking to me rudely and insisting I sign the form and that the marks on the wall were not made by them.I am calmly trying to explain that they weren't there before and he's laughing at me and brushing me off and saying I didn't know that for sure, and I need to sign his form.It keeps going back and forth like thisand he's raising his voice to me in my own home.I have asked him to leave and he won't, insisting I signed his form.I am upset but trying to be calm as his hands are flying around and I feel that if I pushed the situation further he could potentially become violent.Eventually he has given up and I held my ground by not signing the form and as he leaves I tell him I will raise a formal complaint.",1
I have repaired a gate that gives access to a field next to my house.A dog walker who uses the field has deliberately broken the repair.I am furious and am confronting him.He says I had no right to undertake the repair as it is not my business and it makes the gate harder to open.We are both yelling at each other.He will not listen to my reasoning.I am shaking with rage and can only just refrain from physically attacking him.,1
"I left work and was walking alone down a busy street to the train station to travel home.It is dark out because it is winter, but it is only 7pm and the street is well lit.There are people around, other commuters mixed with people heading out for the evening.I am near the end of my 8 minute walk to the train station when a man shouts something unintelligable at me.He is probably in his 50s and seems drunk, perhaps also homeless.He shouts at me again, something along the lines of ""alright darling"" and I ignore him again.Other people around are ignoring him too, there is no one there to help me so I pick up the pace.He starts to get aggressive shouting at me that I'm a ""slag"" and a ""stuck up bitch"" for ignoring him.I can see the train station now but there is a very busy main road to cross first.The crossing lights are redso I break into a run and cross the road in between the traffic, almost being clipped by a bus.I don't stop running until I am inside the station.Then I rush through the ticket barrier and up to the platform where I know he can't follow me and I am safe.I know I am now safe but my heart rate doesn't calm down.I feel unsettled for the whole 15 minute tai=",1
I lent my flat mate some expensive shoes even though she is known to be extremely reckless.When I asked for them back she told me she lost themso I messaged a close friend and told them the situation.She told me I was an idiot for lending her them in the first place since she is known to not look after her own things let alone other peoples.,1
"I once was on a train going home from work & and drunk guy ( drinking as he had a beer in his hand ) was on the train with 2 of his friends.I came onto the train and he made a racist remark but I ignored it and sat down, I didn’t take much notice as I was excited I was going on holiday the next day so was not letting anything annoy me.He then started shouting over to me asking if the next stop was partick and I ignored him and then he said she probably doesn’t speak English to which I lost it and said no I do speak English but why would I acknowledge a drunk rude person like yourself.He then lost the plot and stood up over me and said watch who your talking to or I will punch your packi nose.A random stranger stood up for me and said don’t talk to her like that and the drunk guy ended up hitting the guy that stood up for me with the beer bottle that was in his hand.Police got involved and the guy was sent to jail as he was already out on bail.Over I am happy someone was there to help me in",1
"I phone a number for a care service.I am nervous because I am going to report that I think an elderly friend is not getting the care she needs.A receptionist answers the phone in a lazy manner, which immediately makes me feel more frustrated.She asks me how she can help me.I tell her that I feel my friend and her partner are not receiving the care they should through their service.I do not tell her that I have been given their details by a care worker who works for them.The receptionist replies, “I’m not being funny but what business is it of your.”Rather than, “can I ask how you are related to this person.”I am speechless for a moment and cann",1
I remember the time when a lady came to the school where I used to work.She came to me and started screaming terribly saying that I didn’t put the right mark for her son.She accused me of being biased and for not being fair.I started telling her that her son has to work hard.She screamed and said you are unqualified idiot.I then took her to the principal.,1
"I walk into the train station, an old guy suddenly comes up and say to me: “ go back to your own country, you’re not welcomed here” maybe because I’m Chinese and he’s racist, but I’m so much taller than him so he’s not dare to make physical contact with meso I just roll my eyes and I continue walking.",1
"Only 14 years old and was walking.and I was walking to get a bus home.A man was walking behind me.Even at that age I was aware I had to be careful around men.He started walking beside me.I tried to speed up, but he matched my pace.I tried to ignore him.He started to talk to me.I said find and hoped he would go away.He got closer to me and I crossed the road.He followed saying he liked a chase.I told him I was meeting someone soon.This was a lie, I just wanted him gone.I was getting scared.He told me he wanted to get to know me better.I said no thanks.Maybe that was a mistake because he seemed to get angry.He told me I shouldn't be out aloneHe thought that meant I was interested.I said I just wanted to get my bus and go home.He called me a bitch and came all the way to the bus stop.Thankfully the bus was on time, so I got on it and went home.And angry that a grown man thought I was fair game.I clearly looked my age.",1
"I was addressed by my manager as incompetent at my work.I was told this in a room full of staff.It made me feel very uncomfortable
Everyone stared and looked.Other staff who were there just laughed but were embarrassed for me.I just wanted the floor to swallow me up
I did not know what to do
i just froze
Later on, my own l confronted the manager
I told her how she had made me feel.",1
"I was aged 12 or 13 on a bus on the way home from school.It was packed so I had to go upstairs to the upper deck, and was looking for somewhere to sit.During this I made eye contact with a woman at the back of the bus.As I sat down about midway up the busI started hearing ""for fuck's sake"", ""what the fuck is wrong with her"" so I looked around briefly to see what was going on.I then was met with ""what the fuck are you looking at ginger bitch"" - I was quite scared as this woman and the man she was with seemed quite out of it, but also quite confused as a brunette, with the comment coming from a ginger woman.She then started screwing up a newspaper and throwing it at me.This was followed by ""if this fucking ginger bitch looks at me one more time I'm going to fucking punch her"".I thought I didn't fancy getting hit or stabbed by a potentially-on-something woman on the bus so got up and went downstairs, getting off the bus shortly after.",1
"i was at a conference where i was one of the very few women.I was dressed in a smart professional dress, tights and heels.when we all met in the pub after the conference i changed into jeans and flats.one of my colleagues mentioned that he couldnt find me in the pub as he was looking for my stockings and suspenders set and i was letting the team down now i had changed as i wasnt a sexy to look at.another male commented i was tall enough without flats and didnt need to wear heels just to impress others as if thats why i wear them.",1
I was at a hospital for an appointment.I use a wheelchair and my husband pushed me towards the drop-down check in.The receptionist asked me to come further up to where she was standing but I would have been facing a wall.My husband asked her to come down to speak to us.She tutted and rolled her eyes upwards.She then proceeded to talk to my husband who told her to talk to,1
I was at work and an appointment had been booked in to my diary to call a colleague and complete a mortgage application with them.From the beginning of the call he was cold and short with me.I tried to build some rapport but he was clearly not interested and so I gave up and decided to match his tone.At one point he decided to ask me if I had a problem with him.I replied that he was being rude and confrontational and he said I was being stupid because as a customer he had a right to question me.I replied that I didn’t have a problem with being questioned but I did have a problem with the tone and aggression that he used to complete the questioning.My hands were shaking and I could hear my voice going.He was being so intimidating and I was tempted to end the call.After a few more minutes I said I was ending the call and going to speak to my manager about getting someone else to call him because we were getting nowhere.,1
